 (Half Day), (نیم روز)
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,برای پیگیری موارد فروش و خرید اسناد با nos دسته <br><b>ترجیح صنعت: مواد شیمیایی و غیره<\/b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,برای پیگیری موارد استفاده از بارکد. شما قادر به وارد کردن موارد در یادداشت تحویل و فاکتور فروش اسکن بارکد مورد خواهد بود.
ToDo,ToDo
Tools,ابزار
Top,بالا
Top Bar,نوار بالا
Top Bar Background,پس زمینه نوار بالا
Top Bar Item,نوار بالا مورد
Top Bar Items,آیتم های نوار بالا
Top Bar Text,متن نوار بالا
Total,مجموع
Total (sum of) points distribution for all goals should be 100.,توزیع امتیاز کل (جمع) برای تمام اهداف باید 100 است.
Total Advance,کل پیشرفت
Total Amount,مقدار کل
Total Amount To Pay,مبلغ پرداخت
Total Amount in Words,مقدار کل عبارت
Total Billing This Year: ,مجموع این سال صدور صورت حساب:
Total Claimed Amount,مجموع مقدار ادعا
Total Commission,کل کمیسیون
Total Cost,کل هزینه
Total Credit,کل اعتبار
Total Debit,کل بدهی
Total Deduction,کسر کل
Total Earning,کل درآمد
Total Experience,کل تجربه
Total Hours,ساعت کل
Total Hours (Expected),کل ساعت (انتظار می رود)
Total Invoiced Amount,مجموع مبلغ صورتحساب
Total Leave Days,ترک کل روز
Total Leaves Allocated,مجموع اختصاص داده برگ
Total Operating Cost,کل هزینه های عملیاتی
Total Points,مجموع امتیاز
Total Raw Material Cost,هزینه کل مواد خام
Total SMS Sent,کل اس ام اس فرستاده
Total Sanctioned Amount,مقدار کل تحریم
Total Score (Out of 5),نمره کل (از 5)
Total Tax (Company Currency),مالیات کل (شرکت واحد)
Total Taxes and Charges,کل مالیات و هزینه
Total Taxes and Charges (Company Currency),کل مالیات و هزینه (شرکت واحد)
Total Working Days In The Month,تعداد روزهاي كاري در ماه
Total amount of invoices received from suppliers during the digest period,مبلغ کل فاکتور دریافت شده از تامین کنندگان در طول دوره خلاصه
Total amount of invoices sent to the customer during the digest period,کل مبلغ فاکتور به مشتری در طول دوره خلاصه ارسال
Total in words,تعداد کلمات
Total production order qty for item,کل تولید منظور تعداد مورد
Totals,مجموع
Track separate Income and Expense for product verticals or divisions.,پیگیری verticals محصول یا بخش جداگانه درآمد و هزینه.
Track this Delivery Note against any Project,پیگیری این یادداشت تحویل علیه هر پروژه
Track this Sales Invoice against any Project,پیگیری این فاکتور فروش علیه هر پروژه
Track this Sales Order against any Project,پیگیری این دستور فروش علیه هر پروژه
Transaction,معامله
Transaction Date,تاریخ معامله
Transfer,انتقال
Transition Rules,قوانین انتقال
Transporter Info,اطلاعات حمل و نقل
Transporter Name,نام حمل و نقل
Transporter lorry number,شماره کامیون حمل و نقل
Trash Reason,دلیل سطل زباله
Tree of item classification,درخت مورد طبقه بندی
Trial Balance,ترازنامه آزمایشی
Tuesday,سه شنبه
Tweet will be shared via your user account (if specified),صدای جیر جیر از طریق حساب کاربری خود (اگر مشخص شده) به صورت مشترک خواهد شد
Twitter Share,توییتر اشتراک
Twitter Share via,سهم از طریق توییتر
Type,نوع
Type of document to rename.,نوع سند را تغییر نام دهید.
Type of employment master.,نوع استخدام استاد.
"Type of leaves like casual, sick etc.",نوع برگ مانند بیمار گاه به گاه، و غیره.
Types of Expense Claim.,انواع هزینه های ادعا می کنند.
Types of activities for Time Sheets,انواع فعالیت های زمان ورق
UOM,UOM
UOM Conversion Detail,جزئیات تبدیل UOM
UOM Conversion Details,جزئیات تبدیل UOM
UOM Conversion Factor,ضريب تبديل UOM
UOM Conversion Factor is mandatory,ضريب تبديل UOM الزامی است
UOM Details,جزئیات UOM
UOM Name,نام UOM
UOM Replace Utility,UOM تعویض ابزار
UPPER CASE,حروف
UPPERCASE,حروف بزرگ
URL,آدرس
Unable to complete request: ,قادر به تکمیل درخواست:
Under AMC,تحت AMC
Under Graduate,تحت فارغ التحصیل
Under Warranty,تحت گارانتی
Unit of Measure,واحد اندازه گیری
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).",واحد اندازه گیری در این مورد (مثال کیلوگرم واحد، نه، جفت).
Units/Hour,واحد در ساعت
Units/Shifts,واحد در شیفت
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",رمزگذاری فایل ناشناخته. سعی کردم utf-8، ویندوز 1250 ویندوز-1252.
Unmatched Amount,مقدار بی همتا
Unpaid,پرداخت نشده
Unread Messages,پیامهای خوانده نشده
Unscheduled,برنامه ریزی
Unsubscribed,Unsubscribed
Upcoming Events for Today,رویدادهای آینده برای امروز
Update,به روز رسانی
Update Clearance Date,تاریخ به روز رسانی ترخیص کالا از گمرک
Update Field,بهنگام درآوری زمینه
Update Landed Cost,فرود هزینه به روز رسانی
Update Series,به روز رسانی سری
Update Series Number,به روز رسانی سری شماره
Update Stock,سهام به روز رسانی
Update Stock should be checked.,سهام به روز رسانی باید بررسی شود.
